Quarter,Higher,Primary,Secondary,Higher Change,Primary Change,Secondary Change
2019Q3,11862,378,10103,0.0,0.0,0.0
2019Q4,10148,255,7379,-0.14449502613387288,-0.32539682539682535,-0.2696228842917945
2020Q1,11052,275,7645,0.0890815924320063,0.07843137254901955,0.03604824501965043
2020Q2,8176,267,6105,-0.2602243937748824,-0.029090909090909056,-0.20143884892086328
