Quarter,C,D,E,F,G,H,I,J,L,M,N,S,C Change,D Change,E Change,F Change,G Change,H Change,I Change,J Change,L Change,M Change,N Change,S Change
2019Q3,9073,283,200,3419,16300,3408,7983,2439,1373,3172,5088,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019Q4,7123,318,155,2350,12133,2408,4942,2072,986,2689,4633,63,-0.2149233990962196,0.12367491166077738,-0.22499999999999998,-0.31266452178999704,-0.2556441717791411,-0.2934272300469484,-0.3809344857822874,-0.1504715047150471,-0.28186453022578295,-0.15226986128625475,-0.08942610062893086,0.3125
2020Q1,7668,284,215,2463,11983,2320,5793,2270,1016,2758,4389,53,0.07651270532079191,-0.10691823899371067,0.3870967741935485,0.048085106382978804,-0.012362977004862774,-0.03654485049833889,0.17219749089437464,0.09555984555984565,0.030425963488843744,0.025660096690219403,-0.05266565939995682,-0.15873015873015872
2020Q2,5856,229,126,2193,8964,2027,4360,1763,870,1712,3050,30,-0.2363067292644757,-0.19366197183098588,-0.413953488372093,-0.1096224116930572,-0.251940248685638,-0.12629310344827582,-0.24736751251510447,-0.22334801762114542,-0.14370078740157477,-0.3792603335750544,-0.3050808840282524,-0.4339622641509434
