Month,Number,Change
2019-07,48247,
2019-08,45642,-0.05399299438307048
2019-09,54398,0.19184084834144
2019-10,46833,-0.13906761277988167
2019-11,39046,-0.16627164606153777
2019-12,25534,-0.3460533729447318
2020-01,44729,0.7517427743400955
2020-02,42798,-0.04317109705113009
2020-03,29381,-0.31349595775503525
2020-04,18659,-0.36492971648344164
2020-05,30196,0.6183075191596548
2020-06,37418,0.23917075109286
2020-07,35555,-0.049788871666043066
2020-08,34726,-0.02331598931233303
