Quarter,Full time work,Part-time work,Full time work Change,Part-time work Change
2019Q3,123376,6599,0.0,0.0
2019Q4,96853,5499,-0.21497698093632478,-0.16669192301863922
2020Q1,104512,5056,0.07907860365708852,-0.0805601018366976
2020Q2,79648,3686,-0.23790569503980408,-0.27096518987341767
